CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,MOMENT_DATA
9,126,444,"[2, 1445992699761, 668.47, 19.56, None, [[-1, -1, 57.99826, 28.84708, 3.97303], [1610612737, 2594, 17.99097, 18.63262, 0.0], [1610612737, 201143, 37.39332, 24.13875, 0.0], [1610612737, 203145, 17.67175, 10.53596, 0.0], [1610612737, 203488, 23.45955, 30.29907, 0.0], [1610612737, 203471, 44.34248, 29.69414, 0.0], [1610612765, 2581, 58.56572, 29.69907, 0.0], [1610612765, 101141, 62.56158, 31.68797, 0.0], [1610612765, 203382, 25.05905, 32.73651, 0.0], [1610612765, 201975, 22.2699, 14.48916, 0.0], [1610612765, 1626169, 17.01994, 1.7781600000000002, 0.0]]]"
9,126,449,"[2, 1445992699961, 668.28, 19.39, None, [[-1, -1, 55.40422, 27.94443, 1.81637], [1610612737, 2594, 16.88894, 18.53617, 0.0], [1610612737, 201143, 35.92801, 24.83086, 0.0], [1610612737, 203145, 15.94037, 10.32416, 0.0], [1610612737, 203488, 21.49275, 29.89993, 0.0], [1610612737, 203471, 42.65943, 28.93003, 0.0], [1610612765, 2581, 56.47599, 29.13077, 0.0], [1610612765, 101141, 59.99997, 33.36867, 0.0], [1610612765, 203382, 22.24228, 32.7742, 0.0], [1610612765, 201975, 20.10402, 14.42869, 0.0], [1610612765, 1626169, 15.06318, 1.69454, 0.0]]]"
10,199,24,"[2, 1445993634966, 272.61, 22.48, None, [[-1, -1, 13.50804, 37.26062, 5.79989], [1610612737, 200794, 22.03524, 27.61499, 0.0], [1610612737, 200757, 39.93508, 33.66422, 0.0], [1610612737, 201168, 0.12516000000000002, 30.37049, 0.0], [1610612737, 201952, 16.77294, 40.65428, 0.0], [1610612737, 203471, 23.27627, 10.07369, 0.0], [1610612765, 101141, 29.44122, 26.40342, 0.0], [1610612765, 202704, 55.16187, 32.41669, 0.0], [1610612765, 202694, 62.95208, 32.53412, 0.0], [1610612765, 203484, 54.00021, 13.72137, 0.0], [1610612765, 203083, 16.39525, 28.52366, 0.0]]]"
10,199,29,"[2, 1445993635166, 272.42, 22.31, None, [[-1, -1, 18.97147, 40.18235, 4.55409], [1610612737, 200794, 25.10637, 27.95076, 0.0], [1610612737, 200757, 42.1365, 34.94315, 0.0], [1610612737, 201168, 0.67657, 31.42575, 0.0], [1610612737, 201952, 19.08855, 41.04871, 0.0], [1610612737, 203471, 25.09851, 9.63781, 0.0], [1610612765, 101141, 31.88114, 26.69455, 0.0], [1610612765, 202704, 56.32786, 32.5465, 0.0], [1610612765, 202694, 64.78369, 32.78025, 0.0], [1610612765, 203484, 54.18205, 13.63788, 0.0], [1610612765, 203083, 18.79885, 28.32866, 0.0]]]"
10,199,40,"[2, 1445993635607, 271.99, 21.93, None, [[-1, -1, 25.39588, 40.7303, 1.5956100000000002], [1610612737, 200794, 32.37494, 28.76723, 0.0], [1610612737, 200757, 47.25543, 37.865, 0.0], [1610612737, 201168, 3.53932, 33.38941, 0.0], [1610612737, 201952, 24.86795, 41.88121, 0.0], [1610612737, 203471, 29.42572, 8.79745, 0.0], [1610612765, 101141, 37.35837, 27.04547, 0.0], [1610612765, 202704, 58.87294, 32.8123, 0.0], [1610612765, 202694, 68.46794, 33.74492, 0.0], [1610612765, 203484, 55.02338, 13.61201, 0.0], [1610612765, 203083, 24.37218, 27.99368, 0.0]]]"
10,199,47,"[2, 1445993635886, 271.72, 21.68, None, [[-1, -1, 29.029420000000002, 40.67979, 3.70779], [1610612737, 200794, 37.20287, 29.43856, 0.0], [1610612737, 200757, 50.75678, 39.89332, 0.0], [1610612737, 201168, 6.44219, 34.05933, 0.0], [1610612737, 201952, 28.86094, 42.00164, 0.0], [1610612737, 203471, 32.4014, 8.26732, 0.0], [1610612765, 101141, 40.97734, 27.31916, 0.0], [1610612765, 202704, 60.44033, 32.90113, 0.0], [1610612765, 202694, 70.46336, 34.55229, 0.0], [1610612765, 203484, 56.27399, 13.52494, 0.0], [1610612765, 203083, 28.18441, 27.59616, 0.0]]]"
10,199,97,"[2, 1445993637886, 269.77, 19.95, None, [[-1, -1, 58.33793, 43.62116, 1.3815], [1610612737, 200794, 69.29066, 30.72157, 0.0], [1610612737, 200757, 79.07995, 47.3292, 0.0], [1610612737, 201168, 35.63304, 30.98732, 0.0], [1610612737, 201952, 56.3222, 43.31241, 0.0], [1610612737, 203471, 52.6399, 5.02365, 0.0], [1610612765, 101141, 70.49719, 29.59854, 0.0], [1610612765, 202704, 67.59209, 37.18663, 0.0], [1610612765, 202694, 81.02404, 39.39679, 0.0], [1610612765, 203484, 70.01963, 12.67971, 0.0], [1610612765, 203083, 54.66619, 27.26799, 0.0]]]"
10,199,100,"[2, 1445993638006, 269.65, 19.85, None, [[-1, -1, 59.35281, 43.80636, 2.15272], [1610612737, 200794, 70.45949, 30.71949, 0.0], [1610612737, 200757, 80.50493, 47.49615, 0.0], [1610612737, 201168, 37.56893, 30.54166, 0.0], [1610612737, 201952, 57.52578, 43.32048, 0.0], [1610612737, 203471, 53.55618, 4.94883, 0.0], [1610612765, 101141, 71.81945, 29.86779, 0.0], [1610612765, 202704, 67.82766, 37.6144, 0.0], [1610612765, 202694, 81.65017, 39.38658, 0.0], [1610612765, 203484, 70.68926, 12.63722, 0.0], [1610612765, 203083, 55.9968, 27.36006, 0.0]]]"
10,199,107,"[2, 1445993638287, 269.38, 19.61, None, [[-1, -1, 61.3582, 43.45251, 4.2846], [1610612737, 200794, 72.6919, 30.50067, 0.0], [1610612737, 200757, 83.43527, 47.49854, 0.0], [1610612737, 201168, 42.0146, 29.37451, 0.0], [1610612737, 201952, 59.91008, 43.34613, 0.0], [1610612737, 203471, 55.56655, 4.8225999999999996, 0.0], [1610612765, 101141, 74.45008, 30.440080000000002, 0.0], [1610612765, 202704, 68.41702, 38.40418, 0.0], [1610612765, 202694, 83.12184, 39.36949, 0.0], [1610612765, 203484, 71.94921, 12.58169, 0.0], [1610612765, 203083, 58.92427, 27.51973, 0.0]]]"
10,199,140,"[2, 1445993639606, 268.1, 18.46, None, [[-1, -1, 60.15988, 39.85318, 2.16265], [1610612737, 200794, 79.66525, 27.250140000000002, 0.0], [1610612737, 200757, 89.56619, 47.42653, 0.0], [1610612737, 201168, 57.70851, 24.24909, 0.0], [1610612737, 201952, 61.49321, 40.14995, 0.0], [1610612737, 203471, 61.93316, 5.37465, 0.0], [1610612765, 101141, 79.56866, 29.60851, 0.0], [1610612765, 202704, 68.25398, 37.82628, 0.0], [1610612765, 202694, 88.05524, 38.69568, 0.0], [1610612765, 203484, 72.86998, 11.96453, 0.0], [1610612765, 203083, 66.19233, 26.51173, 0.0]]]"
10,199,208,"[2, 1445993642326, 265.45, 16.11, None, [[-1, -1, 61.86512, 29.18052, 0.8566100000000001], [1610612737, 200794, 69.74288, 31.87351, 0.0], [1610612737, 200757, 89.13635, 47.15885, 0.0], [1610612737, 201168, 83.8138, 18.3862, 0.0], [1610612737, 201952, 60.60327, 28.87592, 0.0], [1610612737, 203471, 67.92904, 4.99685, 0.0], [1610612765, 101141, 72.20669, 30.92226, 0.0], [1610612765, 202704, 65.83889, 27.34111, 0.0], [1610612765, 202694, 88.28596, 38.57801, 0.0], [1610612765, 203484, 75.09511, 11.25744, 0.0], [1610612765, 203083, 80.2383, 20.38873, 0.0]]]"
10,199,284,"[2, 1445993645366, 262.49, 13.48, None, [[-1, -1, 77.71262, 4.57096, 2.50014], [1610612737, 200794, 82.05882, 27.14359, 0.0], [1610612737, 200757, 87.93232, 46.98624, 0.0], [1610612737, 201168, 89.80821, 31.09185, 0.0], [1610612737, 201952, 70.87302, 33.82223, 0.0], [1610612737, 203471, 77.52252, 3.58194, 0.0], [1610612765, 101141, 83.91637, 28.33371, 0.0], [1610612765, 202704, 80.00793, 17.43929, 0.0], [1610612765, 202694, 87.75971, 32.84098, 0.0], [1610612765, 203484, 83.25838, 25.6623, 0.0], [1610612765, 203083, 88.17423, 26.54027, 0.0]]]"
10,199,330,"[2, 1445993647205, 260.7, 11.89, None, [[-1, -1, 87.68325, 23.46425, 12.19528], [1610612737, 200794, 85.39179, 23.93312, 0.0], [1610612737, 200757, 79.7154, 45.809, 0.0], [1610612737, 201168, 88.30924, 29.03373, 0.0], [1610612737, 201952, 59.82155, 26.82059, 0.0], [1610612737, 203471, 81.61075, 2.56256, 0.0], [1610612765, 101141, 85.11176, 25.58874, 0.0], [1610612765, 202704, 81.61075, 2.56256, 0.0], [1610612765, 202694, 88.23118, 32.52522, 0.0], [1610612765, 203484, 82.64794, 21.06799, 0.0], [1610612765, 203083, 88.0365, 27.25784, 0.0]]]"
10,199,349,"[2, 1445993647965, 259.96, 24.0, None, [[-1, -1, 85.87651, 24.36333, 9.37713], [1610612737, 200794, 87.00642, 22.03113, 0.0], [1610612737, 200757, 74.88606, 43.59509, 0.0], [1610612737, 201168, 87.09326, 29.70431, 0.0], [1610612737, 201952, 56.3332, 26.47134, 0.0], [1610612737, 203471, 79.84027, 2.21729, 0.0], [1610612765, 101141, 86.01102, 25.03866, 0.0], [1610612765, 202704, 81.86784, 3.68328, 0.0], [1610612765, 202694, 88.22129, 33.16568, 0.0], [1610612765, 203484, 83.41699, 18.39427, 0.0], [1610612765, 203083, 87.20817, 27.58126, 0.0]]]"
10,199,356,"[2, 1445993648245, 259.69, 24.0, None, [[-1, -1, 84.34896, 27.93164, 7.62902], [1610612737, 200794, 87.58907, 20.85785, 0.0], [1610612737, 200757, 72.91065, 42.57044, 0.0], [1610612737, 201168, 86.00767, 29.37358, 0.0], [1610612737, 201952, 55.17079, 26.42932, 0.0], [1610612737, 203471, 79.12679, 2.6306000000000003, 0.0], [1610612765, 101141, 86.18705, 24.67508, 0.0], [1610612765, 202704, 82.02192, 4.85938, 0.0], [1610612765, 202694, 87.75185, 33.69664, 0.0], [1610612765, 203484, 82.41303, 17.94743, 0.0], [1610612765, 203083, 86.5776, 27.03399, 0.0]]]"
10,199,358,"[2, 1445993648325, 259.61, 24.0, None, [[-1, -1, 84.17248, 27.9276, 7.33689], [1610612737, 200794, 87.7852, 20.54632, 0.0], [1610612737, 200757, 72.30834, 42.30644, 0.0], [1610612737, 201168, 85.64571, 29.18576, 0.0], [1610612737, 201952, 54.87812, 26.40744, 0.0], [1610612737, 203471, 78.79009, 2.8042800000000003, 0.0], [1610612765, 101141, 86.2343, 24.54332, 0.0], [1610612765, 202704, 82.0555, 5.26043, 0.0], [1610612765, 202694, 87.53432, 33.75246, 0.0], [1610612765, 203484, 81.99068, 17.94031, 0.0], [1610612765, 203083, 86.39019, 26.87729, 0.0]]]"
10,199,428,"[2, 1445993651126, 256.89, 22.02, None, [[-1, -1, 88.40335, 19.49724, 11.01313], [1610612737, 200794, 89.79478, 23.41005, 0.0], [1610612737, 200757, 65.11585, 39.13578, 0.0], [1610612737, 201168, 84.39878, 22.49092, 0.0], [1610612737, 201952, 56.44832, 25.91331, 0.0], [1610612737, 203471, 69.43199, 8.23704, 0.0], [1610612765, 101141, 87.6435, 22.09022, 0.0], [1610612765, 202704, 87.70599, 19.28685, 0.0], [1610612765, 202694, 86.85225, 29.38832, 0.0], [1610612765, 203484, 69.30258, 24.76943, 0.0], [1610612765, 203083, 83.40416, 25.64743, 0.0]]]"
11,321,85,"[3, 1445996135433, 227.18, 19.65, None, [[-1, -1, 45.43775, 45.42175, 4.28285], [1610612737, 200794, 51.82484, 24.94642, 0.0], [1610612737, 200757, 28.43417, 4.0797, 0.0], [1610612737, 201168, 26.5584, 35.61809, 0.0], [1610612737, 203934, 9.1656, 2.7797400000000003, 0.0], [1610612737, 203471, 46.2903, 45.91842, 0.0], [1610612765, 202704, 20.83587, 19.40534, 0.0], [1610612765, 202694, 31.2587, 29.7647, 0.0], [1610612765, 203484, 29.10501, 39.87894, 0.0], [1610612765, 203083, 22.42678, 29.18117, 0.0], [1610612765, 1626169, 10.68118, 7.84454, 0.0]]]"
11,321,94,"[3, 1445996135793, 226.81, 19.3, None, [[-1, -1, 41.44571, 45.7217, 3.40461], [1610612737, 200794, 46.80483, 25.35581, 0.0], [1610612737, 200757, 27.58235, 3.89319, 0.0], [1610612737, 201168, 24.22897, 38.8351, 0.0], [1610612737, 203934, 6.66373, 2.02863, 0.0], [1610612737, 203471, 41.99945, 46.10704, 0.0], [1610612765, 202704, 20.19589, 20.01051, 0.0], [1610612765, 202694, 28.47644, 29.70818, 0.0], [1610612765, 203484, 30.56278, 40.9865, 0.0], [1610612765, 203083, 19.66422, 32.2779, 0.0], [1610612765, 1626169, 7.44491, 7.28924, 0.0]]]"
11,321,97,"[3, 1445996135913, 226.69, 19.19, None, [[-1, -1, 40.11152, 45.61292, 0.6726700000000001], [1610612737, 200794, 45.1871, 25.62702, 0.0], [1610612737, 200757, 27.29731, 3.91852, 0.0], [1610612737, 201168, 23.95802, 39.77646, 0.0], [1610612737, 203934, 5.9799500000000005, 1.9408500000000002, 0.0], [1610612737, 203471, 40.64528, 46.18707, 0.0], [1610612765, 202704, 20.07839, 20.20939, 0.0], [1610612765, 202694, 27.68861, 29.81888, 0.0], [1610612765, 203484, 31.03351, 41.28771, 0.0], [1610612765, 203083, 18.9829, 33.18646, 0.0], [1610612765, 1626169, 6.70432, 7.12468, 0.0]]]"
11,321,134,"[3, 1445996137392, 225.19, 17.78, None, [[-1, -1, 19.19383, 45.60846, 0.6686300000000001], [1610612737, 200794, 31.25301, 31.61739, 0.0], [1610612737, 200757, 22.93835, 6.14692, 0.0], [1610612737, 201168, 25.86597, 39.50111, 0.0], [1610612737, 203934, 2.38791, 4.25253, 0.0], [1610612737, 203471, 21.17084, 45.06034, 0.0], [1610612765, 202704, 18.58162, 21.75026, 0.0], [1610612765, 202694, 21.15436, 30.98341, 0.0], [1610612765, 203484, 21.05503, 39.92203, 0.0], [1610612765, 203083, 13.60933, 36.6357, 0.0], [1610612765, 1626169, 3.73236, 10.05023, 0.0]]]"
11,321,139,"[3, 1445996137593, 224.99, 17.58, None, [[-1, -1, 18.92552, 45.34052, 1.10477], [1610612737, 200794, 30.60166, 32.25734, 0.0], [1610612737, 200757, 21.88836, 7.05322, 0.0], [1610612737, 201168, 24.76744, 38.74943, 0.0], [1610612737, 203934, 2.61189, 4.06191, 0.0], [1610612737, 203471, 19.92092, 44.53897, 0.0], [1610612765, 202704, 18.15661, 21.93523, 0.0], [1610612765, 202694, 20.86238, 31.07713, 0.0], [1610612765, 203484, 19.30837, 40.2581, 0.0], [1610612765, 203083, 12.74239, 35.97859, 0.0], [1610612765, 1626169, 4.02203, 11.02796, 0.0]]]"
11,321,151,"[3, 1445996138072, 224.5, 17.13, None, [[-1, -1, 21.17995, 45.99063, 2.15186], [1610612737, 200794, 29.62258, 32.83264, 0.0], [1610612737, 200757, 19.34311, 9.52656, 0.0], [1610612737, 201168, 20.21761, 36.68272, 0.0], [1610612737, 203934, 3.86003, 3.51702, 0.0], [1610612737, 203471, 19.98607, 45.16747, 0.0], [1610612765, 202704, 16.74721, 21.8172, 0.0], [1610612765, 202694, 21.17318, 30.73171, 0.0], [1610612765, 203484, 19.09807, 41.16635, 0.0], [1610612765, 203083, 11.42117, 34.14059, 0.0], [1610612765, 1626169, 4.62341, 12.70437, 0.0]]]"
11,321,186,"[3, 1445996139472, 223.09, 15.79, None, [[-1, -1, 18.64071, 41.30391, 3.02165], [1610612737, 200794, 25.85329, 38.23138, 0.0], [1610612737, 200757, 21.84238, 8.60614, 0.0], [1610612737, 201168, 5.82727, 35.22584, 0.0], [1610612737, 203934, 7.35152, 2.45284, 0.0], [1610612737, 203471, 20.46415, 42.06687, 0.0], [1610612765, 202704, 16.76921, 19.23748, 0.0], [1610612765, 202694, 19.28731, 34.08975, 0.0], [1610612765, 203484, 23.90536, 39.95947, 0.0], [1610612765, 203083, 9.11944, 30.39732, 0.0], [1610612765, 1626169, 6.24649, 12.48636, 0.0]]]"
11,321,199,"[3, 1445996139992, 222.56, 15.29, None, [[-1, -1, 16.03628, 41.0334, 3.47651], [1610612737, 200794, 26.742, 38.13371, 0.0], [1610612737, 200757, 23.0814, 8.09151, 0.0], [1610612737, 201168, 3.84049, 35.24846, 0.0], [1610612737, 203934, 8.30146, 1.9996300000000002, 0.0], [1610612737, 203471, 16.98061, 39.37976, 0.0], [1610612765, 202704, 17.62088, 20.45276, 0.0], [1610612765, 202694, 15.43054, 35.61105, 0.0], [1610612765, 203484, 18.72732, 37.85924, 0.0], [1610612765, 203083, 7.7899, 30.15663, 0.0], [1610612765, 1626169, 6.09644, 13.22209, 0.0]]]"
11,321,206,"[3, 1445996140272, 222.27, 15.02, None, [[-1, -1, 15.40489, 41.13104, 2.6812300000000002], [1610612737, 200794, 27.58211, 37.34511, 0.0], [1610612737, 200757, 23.30397, 7.92975, 0.0], [1610612737, 201168, 3.65903, 34.82305, 0.0], [1610612737, 203934, 8.44098, 1.80694, 0.0], [1610612737, 203471, 15.94904, 39.54312, 0.0], [1610612765, 202704, 18.50199, 21.50119, 0.0], [1610612765, 202694, 14.94408, 35.48341, 0.0], [1610612765, 203484, 16.295, 37.40815, 0.0], [1610612765, 203083, 7.05716, 30.30471, 0.0], [1610612765, 1626169, 6.11622, 13.33165, 0.0]]]"
11,321,268,"[3, 1445996142752, 219.76, 12.65, None, [[-1, -1, 30.49866, 21.50234, 5.65595], [1610612737, 200794, 27.10566, 26.26402, 0.0], [1610612737, 200757, 30.71547, 13.4508, 0.0], [1610612737, 201168, 5.3794, 34.93429, 0.0], [1610612737, 203934, 8.85871, 1.91192, 0.0], [1610612737, 203471, 21.03251, 46.54365, 0.0], [1610612765, 202704, 24.41809, 18.09903, 0.0], [1610612765, 202694, 22.12115, 26.1214, 0.0], [1610612765, 203484, 17.52111, 39.71341, 0.0], [1610612765, 203083, 5.95195, 31.43751, 0.0], [1610612765, 1626169, 7.13091, 8.82929, 0.0]]]"
11,321,271,"[3, 1445996142872, 219.64, 12.54, None, [[-1, -1, 30.9231, 18.705750000000002, 5.70514], [1610612737, 200794, 26.93762, 25.38874, 0.0], [1610612737, 200757, 31.19308, 14.61469, 0.0], [1610612737, 201168, 5.57662, 34.97038, 0.0], [1610612737, 203934, 8.94914, 1.95154, 0.0], [1610612737, 203471, 21.44145, 46.32803, 0.0], [1610612765, 202704, 24.792, 18.33984, 0.0], [1610612765, 202694, 21.87066, 25.47666, 0.0], [1610612765, 203484, 17.61148, 39.79914, 0.0], [1610612765, 203083, 6.00701, 31.36138, 0.0], [1610612765, 1626169, 7.19112, 8.59372, 0.0]]]"
11,321,420,"[3, 1445996148832, 213.6, 6.84, None, [[-1, -1, 7.95364, 26.83833, 12.70057], [1610612737, 200794, 25.52953, 24.34574, 0.0], [1610612737, 200757, 9.52914, 21.4922, 0.0], [1610612737, 201168, 12.60244, 32.86776, 0.0], [1610612737, 203934, 14.48857, 4.44219, 0.0], [1610612737, 203471, 21.95602, 37.52104, 0.0], [1610612765, 202704, 10.39359, 20.11227, 0.0], [1610612765, 202694, 15.00647, 25.93747, 0.0], [1610612765, 203484, 20.44893, 44.26798, 0.0], [1610612765, 203083, 8.10783, 29.92391, 0.0], [1610612765, 1626169, 6.13465, 18.63356, 0.0]]]"
11,321,479,"[3, 1445996151192, 211.21, 24.0, None, [[-1, -1, 2.86737, 26.71176, 3.25945], [1610612737, 200794, 42.91074, 24.991410000000002, 0.0], [1610612737, 200757, 30.34638, 24.20548, 0.0], [1610612737, 201168, 29.06502, 28.12924, 0.0], [1610612737, 203934, 31.07602, 13.98174, 0.0], [1610612737, 203471, 37.94563, 37.69217, 0.0], [1610612765, 202704, 9.32209, 14.40221, 0.0], [1610612765, 202694, 7.67105, 24.750140000000002, 0.0], [1610612765, 203484, 31.19497, 44.98372, 0.0], [1610612765, 203083, 15.8699, 25.59999, 0.0], [1610612765, 1626169, 12.51348, 29.72782, 0.0]]]"
11,321,531,"[3, 1445996153272, 209.1, 24.0, None, [[-1, -1, -0.23756000000000002, 27.11393, 4.33063], [1610612737, 200794, 56.33522, 24.97807, 0.0], [1610612737, 200757, 52.73421, 34.00777, 0.0], [1610612737, 201168, 54.07734, 26.93778, 0.0], [1610612737, 203934, 45.50437, 26.38165, 0.0], [1610612737, 203471, 57.7896, 31.20611, 0.0], [1610612765, 202704, 13.54783, 13.25445, 0.0], [1610612765, 202694, -0.8670200000000001, 27.41894, 0.0], [1610612765, 203484, 42.02933, 42.73, 0.0], [1610612765, 203083, 38.20793, 22.26556, 0.0], [1610612765, 1626169, 34.71534, 30.80217, 0.0]]]"
12,333,222,"[3, 1445996393542, 157.97, 21.76, None, [[-1, -1, 34.71684, 25.27373, 3.64999], [1610612737, 200794, 35.26723, 24.50118, 0.0], [1610612737, 200757, 5.426, 47.30394, 0.0], [1610612737, 201168, 6.4827, 27.19711, 0.0], [1610612737, 203934, 34.96303, 43.50353, 0.0], [1610612737, 203471, 26.42756, 11.45339, 0.0], [1610612765, 2581, 21.96987, 15.1987, 0.0], [1610612765, 202694, 26.37371, 23.87105, 0.0], [1610612765, 203484, 6.18344, 37.12528, 0.0], [1610612765, 203083, 9.62369, 23.95115, 0.0], [1610612765, 1626169, 28.5736, 38.95715, 0.0]]]"
12,333,228,"[3, 1445996393782, 157.72, 21.5, None, [[-1, -1, 35.76354, 30.79993, 5.45443], [1610612737, 200794, 34.99789, 24.98548, 0.0], [1610612737, 200757, 5.32015, 47.33119, 0.0], [1610612737, 201168, 6.72392, 28.66439, 0.0], [1610612737, 203934, 35.54249, 43.36519, 0.0], [1610612737, 203471, 24.52381, 12.41626, 0.0], [1610612765, 2581, 20.95456, 16.03276, 0.0], [1610612765, 202694, 26.34067, 23.75234, 0.0], [1610612765, 203484, 6.32353, 37.75645, 0.0], [1610612765, 203083, 9.38147, 25.19131, 0.0], [1610612765, 1626169, 28.86908, 38.95147, 0.0]]]"
12,333,351,"[3, 1445996398703, 152.7, 16.27, None, [[-1, -1, 6.92888, 8.35087, 2.96508], [1610612737, 200794, 6.03216, 9.26408, 0.0], [1610612737, 200757, 5.61744, 47.06907, 0.0], [1610612737, 201168, 17.41767, 23.65036, 0.0], [1610612737, 203934, 32.38843, 15.65212, 0.0], [1610612737, 203471, 19.10761, 36.74948, 0.0], [1610612765, 2581, 14.07947, 20.67262, 0.0], [1610612765, 202694, 6.53089, 12.85228, 0.0], [1610612765, 203484, 6.8950700000000005, 34.07207, 0.0], [1610612765, 203083, 9.67822, 24.12607, 0.0], [1610612765, 1626169, 22.16344, 20.38339, 0.0]]]"
12,333,540,"[3, 1445996406262, 144.99, 23.6, None, [[-1, -1, 7.71437, 23.13006, 10.38235], [1610612737, 200794, 12.36519, 29.87782, 0.0], [1610612737, 200757, 8.0086, 31.82212, 0.0], [1610612737, 201168, 6.94623, 22.6164, 0.0], [1610612737, 203934, 41.6761, 20.91443, 0.0], [1610612737, 203471, 38.46348, 45.38388, 0.0], [1610612765, 2581, 25.1863, 31.46669, 0.0], [1610612765, 202694, 6.77142, 28.73703, 0.0], [1610612765, 203484, 11.82259, 26.46877, 0.0], [1610612765, 203083, 6.88952, 22.9507, 0.0], [1610612765, 1626169, 11.29542, 21.32957, 0.0]]]"
12,333,602,"[3, 1445996408742, 142.47, 21.85, None, [[-1, -1, -0.89026, 8.64095, 4.37377], [1610612737, 200794, 9.04653, 20.07936, 0.0], [1610612737, 200757, 18.02949, 27.46075, 0.0], [1610612737, 201168, 12.54512, 14.81822, 0.0], [1610612737, 203934, 44.218, 19.24848, 0.0], [1610612737, 203471, 47.40038, 32.98881, 0.0], [1610612765, 2581, 24.51255, 4.981920000000001, 0.0], [1610612765, 202694, 11.73707, 30.54295, 0.0], [1610612765, 203484, 21.22417, 6.9895, 0.0], [1610612765, 203083, 4.4789, 20.25129, 0.0], [1610612765, 1626169, 1.24776, 7.71319, 0.0]]]"
12,333,615,"[3, 1445996409262, 141.93, 21.49, None, [[-1, -1, 1.09046, 9.03296, 3.5057], [1610612737, 200794, 9.13375, 18.77125, 0.0], [1610612737, 200757, 22.64193, 27.88225, 0.0], [1610612737, 201168, 17.26409, 14.87748, 0.0], [1610612737, 203934, 45.8613, 18.91137, 0.0], [1610612737, 203471, 48.49465, 30.71268, 0.0], [1610612765, 2581, 24.30471, 2.6325000000000003, 0.0], [1610612765, 202694, 15.64324, 32.55371, 0.0], [1610612765, 203484, 25.2926, 4.5934, 0.0], [1610612765, 203083, 4.5695, 20.36772, 0.0], [1610612765, 1626169, 1.39608, 7.6010100000000005, 0.0]]]"
12,333,631,"[3, 1445996409902, 141.28, 21.04, None, [[-1, -1, 4.20309, 9.75663, 2.93549], [1610612737, 200794, 12.86905, 18.43379, 0.0], [1610612737, 200757, 29.22169, 28.80478, 0.0], [1610612737, 201168, 24.55996, 16.04563, 0.0], [1610612737, 203934, 48.56357, 18.42215, 0.0], [1610612737, 203471, 50.91471, 28.5978, 0.0], [1610612765, 2581, 26.90856, 1.9163999999999999, 0.0], [1610612765, 202694, 21.73971, 35.64693, 0.0], [1610612765, 203484, 31.01887, 2.9327300000000003, 0.0], [1610612765, 203083, 6.88806, 20.92839, 0.0], [1610612765, 1626169, 3.79537, 8.28426, 0.0]]]"
12,333,639,"[3, 1445996410221, 140.96, 20.81, None, [[-1, -1, 12.78646, 7.62849, 5.29743], [1610612737, 200794, 16.42016, 18.77747, 0.0], [1610612737, 200757, 33.08481, 29.56091, 0.0], [1610612737, 201168, 28.56684, 16.73778, 0.0], [1610612737, 203934, 50.53746, 17.59023, 0.0], [1610612737, 203471, 52.56535, 27.89599, 0.0], [1610612765, 2581, 29.13327, 2.05949, 0.0], [1610612765, 202694, 25.35236, 37.2009, 0.0], [1610612765, 203484, 35.30718, 2.6055200000000003, 0.0], [1610612765, 203083, 9.12005, 21.50165, 0.0], [1610612765, 1626169, 6.3358, 8.37042, 0.0]]]"
12,333,651,"[3, 1445996410702, 140.47, 20.47, None, [[-1, -1, 31.57588, 4.60937, 5.66613], [1610612737, 200794, 22.76591, 20.298, 0.0], [1610612737, 200757, 39.29946, 30.68568, 0.0], [1610612737, 201168, 34.82532, 18.10638, 0.0], [1610612737, 203934, 54.51096, 15.51723, 0.0], [1610612737, 203471, 55.46177, 26.33728, 0.0], [1610612765, 2581, 33.63499, 2.8960500000000002, 0.0], [1610612765, 202694, 31.35575, 39.4284, 0.0], [1610612765, 203484, 43.34147, 2.46896, 0.0], [1610612765, 203083, 15.11695, 22.27611, 0.0], [1610612765, 1626169, 11.65239, 8.33008, 0.0]]]"
12,333,737,"[3, 1445996414142, 136.96, 18.05, None, [[-1, -1, 77.50272, 24.03173, 12.18435], [1610612737, 200794, 74.74586, 24.27158, 0.0], [1610612737, 200757, 78.68089, 33.13196, 0.0], [1610612737, 201168, 80.0913, 27.08293, 0.0], [1610612737, 203934, 86.83684, 9.33915, 0.0], [1610612737, 203471, 66.8263, 13.32017, 0.0], [1610612765, 2581, 60.9388, 7.87716, 0.0], [1610612765, 202694, 70.02137, 46.51017, 0.0], [1610612765, 203484, 86.9425, 1.05564, 0.0], [1610612765, 203083, 78.18399, 27.341450000000002, 0.0], [1610612765, 1626169, 59.80414, 21.82498, 0.0]]]"
13,341,20,"[3, 1445996463260, 136.0, 24.0, None, [[-1, -1, 93.26976, 19.54983, 3.49001], [1610612737, 200794, 36.56368, 16.31004, 0.0], [1610612737, 201143, 93.77438, 19.35732, 0.0], [1610612737, 200757, 35.71996, 45.30156, 0.0], [1610612737, 203934, 55.24707, 29.72455, 0.0], [1610612737, 203471, 84.83194, 25.64127, 0.0], [1610612765, 2581, 72.17005, 24.59248, 0.0], [1610612765, 202694, 31.87465, 21.8248, 0.0], [1610612765, 203484, 24.90447, 41.79998, 0.0], [1610612765, 203083, 21.997700000000002, 23.95942, 0.0], [1610612765, 1626169, 39.3712, 29.46463, 0.0]]]"
