CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,GAME_TIME_LEFT,SHOT_TIME_LEFT,TEAM1_ID,TEAM2_ID,BALL_X,BALL_Y,PLAYER1_ID,PLAYER1_X,PLAYER1_Y,PLAYER2_ID,PLAYER2_X,PLAYER2_Y,PLAYER3_ID,PLAYER3_X,PLAYER3_Y,PLAYER4_ID,PLAYER4_X,PLAYER4_Y,PLAYER5_ID,PLAYER5_X,PLAYER5_Y,PLAYER6_ID,PLAYER6_X,PLAYER6_Y,PLAYER7_ID,PLAYER7_X,PLAYER7_Y,PLAYER8_ID,PLAYER8_X,PLAYER8_Y,PLAYER9_ID,PLAYER9_X,PLAYER9_Y,PLAYER10_ID,PLAYER10_X,PLAYER10_Y
2,152,56,527.6,22.79,1610612737,1610612765,18.49699,4.98453,2594,22.67286,31.57412,201143,24.70789,19.98095,201952,10.6632,17.34009,203145,11.58136,6.62583,203488,-0.25611,26.364,2581,43.26564,25.72618,101141,42.84893,16.63705,203382,20.72537,29.17087,201975,45.35613,30.96158,1626169,28.89528,8.88027
2,152,82,526.57,21.81,1610612737,1610612765,13.7101,2.75105,2594,35.53009,36.65046,201143,40.47364,21.59447,201952,22.76805,13.58905,203145,25.53338,5.27426,203488,9.52571,25.97902,2581,51.26179,22.34668,101141,52.44041,19.49009,203382,37.69717,27.4073,201975,54.76403,32.76092,1626169,44.9856,10.69819
2,152,94,526.1,21.37,1610612737,1610612765,10.77809,3.9903,2594,41.92318,39.08961,201143,48.35501,21.97623,201952,29.63338,11.65143,203145,33.49683,4.19413,203488,16.40871,26.03136,2581,54.7974,20.57007,101141,55.98656,19.78245,203382,46.32477,26.76621,201975,59.43625,33.61992,1626169,52.03308,9.91354
2,152,116,525.22,20.54,1610612737,1610612765,9.39368,3.58366,2594,52.74799,42.59552,201143,61.66451,23.43713,201952,42.21118,9.22021,203145,48.44199,2.76455,203488,30.3005,26.02063,2581,61.00391,16.52998,101141,61.63591,21.65096,203382,61.66291,25.36763,201975,67.65059,34.79738,1626169,64.03579,8.11658
2,152,142,524.19,19.57,1610612737,1610612765,8.99606,3.87649,2594,59.49165,44.03929,201143,72.31511,20.81967,201952,54.78063,8.54065,203145,64.06531,0.70011,203488,46.63682,26.63959,2581,66.97362,14.39291,101141,66.19312,23.99651,203382,74.93789,21.14535,201975,73.05666,36.34806,1626169,75.5285,6.5541
2,152,173,522.96,18.41,1610612737,1610612765,26.41941,6.0138,2594,59.28421,43.90735,201143,78.49098,22.85691,201952,66.49887,10.22169,203145,78.80742,1.71994,203488,59.78604,26.66318,2581,71.14895,15.48521,101141,69.17886,25.73443,203382,80.31765,22.43953,201975,68.00781,38.64186,1626169,83.29184,5.34639
2,152,265,519.3,14.97,1610612737,1610612765,38.19109,5.95805,2594,60.07491,42.63017,201143,79.59,36.90936,201952,72.50204,9.17065,203145,86.1938,28.91053,203488,76.33386,17.19441,2581,76.84169,18.819490000000002,101141,78.81666,18.45175,203382,78.32707,35.19046,201975,63.46319,40.69103,1626169,83.91789,26.73837
2,152,326,516.88,12.69,1610612737,1610612765,7.51403,2.67306,2594,71.99153,46.15649,201143,70.10115,31.24322,201952,68.95037,9.32429,203145,79.66974,41.80632,203488,68.78568,13.21777,2581,67.16177,11.71494,101141,75.89684,12.68557,203382,77.86113,28.45698,201975,74.58984,40.40498,1626169,83.98546,37.13032
2,152,329,516.76,12.58,1610612737,1610612765,7.63134,2.91794,2594,72.7611,46.34017,201143,69.29261,31.16935,201952,69.86734,9.1587,203145,79.01378,41.628659999999996,203488,69.08725,13.52361,2581,67.71825,11.06275,101141,76.26231,12.67018,203382,77.95943,28.07762,201975,75.21684,40.57455,1626169,83.58911,37.00004
2,152,349,515.97,11.84,1610612737,1610612765,28.1276,5.95123,2594,78.82747,47.31205,201143,65.34153,30.83339,201952,75.71749,9.92447,203145,77.82223,41.64972,203488,75.31578,18.405920000000002,2581,74.38951,11.39611,101141,80.05402,15.72995,203382,77.44981,26.32796,201975,77.32641,42.20486,1626169,81.51741,35.87739
